Sex,Age,Eng1,Math1,Phy1,Chem1,Bio1,Eng2,Math2,Phy2,Chem2,Bio2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Eng3,Math3,Phy3,Chem3,Bio3
F,17.0,81.0,56.0,49.0,50.0,41.0,67.0,48.0,57.0,50.0,45.0,Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,59.0,50.0,60.0,57.0,70.0
F,16.0,82.0,53.0,54.0,52.0,52.0,71.0,51.0,61.0,51.0,37.0,Good,Mother Only,Less Than 5000,Diploma,Yes,2.5-3,Artisan,Yes,78.0,60.0,55.0,60.0,45.0
F,17.0,79.0,50.0,68.0,61.0,54.0,82.0,47.0,73.0,51.0,58.0,Good,Mother and Father,5000-10000,Masters,Yes,3-3.5,Civil Servant,Yes,70.0,45.0,50.0,62.0,65.0
F,17.0,58.0,55.0,59.0,47.0,50.0,57.0,50.0,43.0,55.0,53.0,Good,Siblings,Less Than 5000,High SchoolDropout,No,3-3.5,Civil Servant,Yes,50.0,45.0,55.0,60.0,50.0
F,18.0,83.0,58.0,54.0,62.0,50.0,78.0,52.0,71.0,50.0,54.0,Good,Mother and Father,Less Than 5000,Degree,No,3-3.5,Civil Servant,Yes,60.0,40.0,50.0,64.0,76.0
M,16.0,71.0,48.0,56.0,43.0,50.0,63.0,42.0,55.0,37.0,36.0,Good,Mother Only,Less Than 5000,No Education,No,3-3.5,Civil Servant,Yes,45.0,51.0,43.0,40.0,61.0
F,18.0,75.0,50.0,62.0,52.0,43.0,74.0,50.0,60.0,51.0,45.0,Good,Mother and Father,Less Than 5000,Degree,Yes,2.5-3,Artisan,Yes,54.0,46.0,57.0,64.0,76.0
M,18.0,50.0,37.0,49.0,42.0,52.0,47.0,46.0,41.0,34.0,42.0,Excellent,Father Only,5000-10000,Degree,Yes,3-3.5,Artisan,Yes,48.0,40.0,51.0,50.0,45.0
M,17.0,56.0,43.0,63.0,58.0,50.0,53.0,49.0,50.0,53.0,55.0,Very Good,Mother and Father,5000-10000,Masters,Yes,3-3.5,Civil Servant,Yes,43.0,48.0,56.0,60.0,56.0
M,17.0,52.0,46.0,39.0,45.0,46.0,43.0,55.0,34.0,55.0,47.0,Very Good,Mother and Father,Less Than 5000,Masters,Yes,2.5-3,Civil Servant,No,51.0,48.0,49.0,53.0,50.0
M,17.0,54.0,42.0,50.0,56.0,44.0,67.0,53.0,50.0,52.0,71.0,Very Good,Mother and Father,Less Than 5000,Masters,Yes,2.5-3,Civil Servant,No,58.0,51.0,50.0,62.0,67.0
F,17.0,63.0,40.0,44.0,54.0,50.0,60.0,62.0,66.0,61.0,74.0,Good,Mother and Father,Less Than 5000,Degree,No,2.5-3,Civil Servant,No,41.0,63.0,51.0,57.0,62.0
M,17.0,55.0,46.0,56.0,54.0,51.0,53.0,55.0,46.0,47.0,66.0,Good,Mother and Father,Less Than 5000,Degree,No,2.5-3,Civil Servant,No,38.0,45.0,50.0,55.0,51.0
M,17.0,56.0,37.0,56.0,56.0,51.0,54.0,67.0,56.0,48.0,76.0,Very Good,Mother and Father,Less Than 5000,Masters,Yes,2.5-3,Civil Servant,No,43.0,54.0,49.0,54.0,57.0
M,20.0,67.0,50.0,38.0,61.0,56.0,45.0,47.0,58.0,49.0,56.0,Very Good,Mother and Father,5000-10000,Degree,No,2-2.5,Trading,Yes,45.0,44.0,52.0,52.0,68.0
M,17.0,86.0,55.0,63.0,67.0,58.0,82.0,51.0,70.0,59.0,72.0,Very Good,Mother and Father,5000-10000,Diploma,No,3-3.5,Trading,Yes,65.0,64.0,60.0,70.0,64.0
F,17.0,38.0,44.0,33.0,43.0,50.0,69.0,49.0,41.0,52.0,46.0,Very Good,Mother and Father,5000-10000,Diploma,Yes,3-3.5,Civil Servant,No,40.0,50.0,46.0,58.0,39.0
M,17.0,52.0,50.0,45.0,48.0,47.0,60.0,51.0,48.0,64.0,55.0,Very Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,44.0,49.0,45.0,53.0,62.0
F,17.0,61.0,50.0,50.0,52.0,44.0,44.0,56.0,54.0,52.0,67.0,Very Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,No,54.0,55.0,54.0,54.0,75.0
M,17.0,51.0,54.0,30.0,50.0,62.0,52.0,61.0,60.0,70.0,73.0,Very Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,42.0,44.0,45.0,43.0,56.0
F,17.0,58.0,46.0,54.0,48.0,40.0,66.0,46.0,52.0,60.0,61.0,Very Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,57.0,52.0,57.0,64.0,72.0
M,16.0,67.0,53.0,64.0,46.0,57.0,72.0,49.0,50.0,53.0,62.0,Very Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,43.0,46.0,46.0,54.0,57.0
M,17.0,67.0,45.0,47.0,50.0,51.0,65.0,56.0,54.0,61.0,63.0,Very Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,44.0,46.0,48.0,50.0,59.0
F,16.0,70.0,58.0,68.0,81.0,63.0,73.0,58.0,78.0,71.0,75.0,Very Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,56.0,58.0,68.0,77.0,87.0
F,16.0,64.0,50.0,60.0,53.0,53.0,59.0,52.0,52.0,64.0,73.0,Very Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,51.0,52.0,49.0,42.0,68.0
F,18.0,43.0,54.0,52.0,41.0,46.0,45.0,50.0,32.0,57.0,40.0,Very Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,50.0,43.0,48.0,45.0,21.0
M,16.0,60.0,63.0,47.0,77.0,70.0,63.0,71.0,74.0,75.0,89.0,Very Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,50.0,64.0,45.0,72.0,67.0
F,18.0,47.0,53.0,38.0,57.0,54.0,50.0,51.0,32.0,48.0,38.0,Excellent,Mother and Father,5000-10000,Degree,Yes,2.5-3,Civil Servant,Yes,45.0,54.0,46.0,42.0,60.0
F,17.0,60.0,54.0,49.0,53.0,61.0,55.0,57.0,39.0,45.0,55.0,Good,Mother and Father,Less Than 5000,High SchoolDropout,Yes,3-3.5,Civil Servant,Yes,54.0,52.0,45.0,64.0,58.0
F,16.0,57.0,54.0,57.0,68.0,50.0,67.0,47.0,32.0,59.0,33.0,Good,Mother Only,Less Than 5000,High SchoolDropout,Yes,2.5-3,Civil Servant,Yes,50.0,47.0,44.0,47.0,58.0
F,17.0,59.0,50.0,45.0,57.0,54.0,68.0,53.0,52.0,60.0,66.0,Good,Mother and Father,5000-10000,High School,Yes,3-3.5,Civil Servant,Yes,54.0,61.0,58.0,60.0,72.0
F,17.0,55.0,48.0,49.0,50.0,52.0,70.0,53.0,32.0,64.0,70.0,Very Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,54.0,49.0,59.0,52.0,74.0
F,16.0,55.0,41.0,51.0,58.0,50.0,61.0,47.0,50.0,60.0,63.0,Very Good,Mother and Father,5000-10000,High School,No,3-3.5,Civil Servant,Yes,50.0,51.0,48.0,53.0,73.0
M,17.0,70.0,41.0,60.0,73.0,62.0,78.0,61.0,63.0,76.0,73.0,Very Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,52.0,58.0,44.0,76.0,79.0
F,16.0,60.0,42.0,55.0,63.0,65.0,53.0,63.0,58.0,70.0,72.0,Excellent,Siblings,Less Than 5000,Masters,Yes,3-3.5,Civil Servant,No,50.0,62.0,53.0,66.0,76.0
M,16.0,63.0,42.0,49.0,61.0,60.0,57.0,56.0,63.0,71.0,76.0,Very Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,41.0,49.0,45.0,58.0,62.0
M,16.0,61.0,46.0,62.0,74.0,55.0,62.0,60.0,57.0,68.0,80.0,Very Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,50.0,51.0,57.0,54.0,60.0
M,16.0,64.0,43.0,49.0,64.0,55.0,61.0,56.0,53.0,77.0,77.0,Very Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,52.0,50.0,44.0,57.0,68.0
F,16.0,59.0,47.0,53.0,52.0,52.0,59.0,58.0,54.0,65.0,74.0,Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,51.0,56.0,40.0,60.0,48.0
M,16.0,55.0,44.0,57.0,50.0,52.0,50.0,61.0,56.0,50.0,70.0,Very Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,43.0,47.0,46.0,61.0,47.0
M,17.0,41.0,46.0,43.0,43.0,47.0,67.0,49.0,42.0,44.0,40.0,Good,Mother and Father,5000-10000,PhD,Yes,3.5-4,Artisan,Yes,45.0,44.0,56.0,43.0,57.0
M,17.0,53.0,52.0,65.0,54.0,61.0,72.0,58.0,57.0,65.0,50.0,Good,Mother and Father,Less Than 5000,Degree,No,2-2.5,Civil Servant,Yes,51.0,37.0,54.0,50.0,75.0
M,16.0,72.0,50.0,71.0,61.0,62.0,73.0,55.0,66.0,68.0,59.0,Very Good,Mother and Father,5000-10000,No Education,No,3-3.5,Trading,Yes,58.0,52.0,44.0,48.0,65.0
F,17.0,68.0,54.0,64.0,55.0,64.0,72.0,49.0,69.0,69.0,56.0,Very Good,Mother Only,Less Than 5000,High School,Yes,3.5-4,Trading,Yes,55.0,46.0,54.0,53.0,76.0
F,17.0,42.0,45.0,54.0,42.0,57.0,70.0,52.0,61.0,63.0,58.0,Good,Mother and Father,5000-10000,Degree,Yes,2-2.5,Civil Servant,Yes,51.0,43.0,45.0,51.0,73.0
M,17.0,81.0,39.0,82.0,59.0,69.0,75.0,41.0,61.0,66.0,68.0,Good,Mother Only,Less Than 5000,High School,Yes,3-3.5,Trading,Yes,75.0,48.0,52.0,40.0,70.0
F,17.0,52.0,48.0,67.0,53.0,54.0,56.0,50.0,57.0,65.0,55.0,Excellent,Siblings,Less Than 5000,Degree,No,3.5-4,Trading,Yes,50.0,60.0,62.0,55.0,68.0
F,17.0,58.0,50.0,54.0,58.0,45.0,67.0,45.0,51.0,73.0,54.0,Good,Mother and Father,10000-20000,Masters,Yes,2.5-3,Civil Servant,Yes,55.0,57.0,53.0,47.0,65.0
F,16.0,58.0,54.0,52.0,57.0,50.0,74.0,48.0,61.0,64.0,51.0,Good,Mother and Father,5000-10000,High School,Yes,2.5-3,Trading,Yes,64.0,52.0,53.0,50.0,72.0
M,16.0,50.0,53.0,68.0,50.0,67.0,72.0,54.0,74.0,69.0,58.0,Good,Mother and Father,5000-10000,Diploma,No,3-3.5,Trading,No,57.0,49.0,52.0,64.0,74.0
F,17.0,47.0,53.0,57.0,44.0,54.0,68.0,47.0,62.0,69.0,58.0,Very Good,Mother and Father,Less Than 5000,Degree,Yes,2.5-3,Civil Servant,Yes,52.0,53.0,58.0,50.0,81.0
M,16.0,68.0,54.0,65.0,53.0,57.0,79.0,46.0,65.0,66.0,70.0,Very Good,Mother and Father,5000-10000,High School,Yes,3-3.5,Civil Servant,Yes,52.0,67.0,61.0,57.0,69.0
M,17.0,62.0,48.0,61.0,53.0,54.0,74.0,59.0,63.0,67.0,55.0,Very Good,Mother Only,Less Than 5000,Diploma,Yes,3-3.5,Civil Servant,Yes,52.0,69.0,54.0,50.0,72.0
M,16.0,68.0,54.0,67.0,64.0,61.0,78.0,50.0,61.0,68.0,68.0,Good,Mother and Father,Less Than 5000,Degree,Yes,3-3.5,Civil Servant,Yes,59.0,59.0,54.0,59.0,70.0
F,16.0,50.0,57.0,59.0,52.0,54.0,72.0,42.0,59.0,65.0,51.0,Good,Mother and Father,10000-20000,Masters,Yes,2.5-3,Civil Servant,Yes,60.0,49.0,54.0,55.0,77.0
F,16.0,44.0,57.0,53.0,47.0,52.0,71.0,46.0,60.0,68.0,50.0,Very Good,Mother and Father,5000-10000,High School,Yes,3.5-4,Civil Servant,Yes,61.0,54.0,50.0,50.0,73.0
M,15.0,89.0,46.0,74.0,66.0,73.0,94.0,52.0,67.0,83.0,76.0,Satisfactory,Mother and Father,More Than 20000,PhD,No,3.5-4,Trading,No,80.0,68.0,58.0,65.0,73.0
F,16.0,90.0,72.0,85.0,87.0,70.0,76.0,74.0,76.0,77.0,80.0,Good,Mother and Father,5000-10000,Masters,Yes,3.5-4,Civil Servant,Yes,69.0,78.0,62.0,67.0,75.0
M,17.0,54.0,63.0,78.0,6.0,71.0,73.0,63.0,72.0,70.0,81.0,Satisfactory,Father Only,5000-10000,Degree,Yes,3.5-4,Trading,Yes,61.0,68.0,68.0,68.0,75.0
M,17.0,72.0,50.0,52.0,55.0,58.0,77.0,36.0,43.0,65.0,54.0,Good,Mother and Father,5000-10000,High School,No,3-3.5,Civil Servant,Yes,62.0,57.0,54.0,57.0,59.0
F,16.0,38.0,45.0,54.0,48.0,52.0,76.0,47.0,60.0,61.0,54.0,Good,Mother and Father,Less Than 5000,High SchoolDropout,Yes,2.5-3,Artisan,No,70.0,52.0,59.0,51.0,80.0
F,17.0,45.0,50.0,53.0,47.0,59.0,75.0,54.0,65.0,68.0,55.0,Good,Mother and Father,10000-20000,Degree,Yes,2.5-3,Trading,Yes,71.0,41.0,64.0,56.0,68.0
M,16.0,84.0,50.0,57.0,57.0,54.0,77.0,39.0,67.0,76.0,54.0,Good,Mother Only,10000-20000,PhD,No,3.5-4,Civil Servant,Yes,67.0,51.0,48.0,41.0,60.0
M,17.0,77.0,62.0,67.0,72.0,74.0,85.0,58.0,74.0,79.0,65.0,Excellent,Mother and Father,5000-10000,Masters,No,3.5-4,Civil Servant,Yes,58.0,58.0,55.0,56.0,79.0
F,16.0,60.0,53.0,57.0,55.0,57.0,71.0,50.0,72.0,66.0,54.0,Good,Mother and Father,10000-20000,Masters,Yes,2.5-3,Civil Servant,Yes,64.0,59.0,62.0,62.0,80.0
F,20.0,57.0,47.0,60.0,58.0,52.0,57.0,46.0,56.0,68.0,66.0,Good,Siblings,5000-10000,Masters,Yes,2.5-3,Military,Yes,53.0,54.0,59.0,54.0,62.0
M,17.0,48.0,55.0,43.0,48.0,51.0,60.0,45.0,61.0,65.0,49.0,Good,Mother and Father,Less Than 5000,Degree,Yes,3-3.5,Civil Servant,Yes,53.0,48.0,60.0,52.0,67.0
M,16.0,58.0,36.0,45.0,51.0,47.0,64.0,39.0,24.0,49.0,56.0,Excellent,Mother and Father,5000-10000,Masters,No,3-3.5,Civil Servant,No,54.0,38.0,45.0,61.0,61.0
M,16.0,52.0,58.0,62.0,59.0,52.0,63.0,58.0,61.0,57.0,50.0,Good,Mother and Father,5000-10000,Diploma,No,3-3.5,Trading,No,55.0,57.0,46.0,56.0,78.0
M,17.0,64.0,44.0,39.0,57.0,50.0,56.0,41.0,56.0,49.0,52.0,Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,50.0,51.0,44.0,52.0,78.0
M,17.0,66.0,48.0,39.0,56.0,51.0,58.0,45.0,57.0,45.0,40.0,Very Good,Mother and Father,5000-10000,High School,Yes,2-2.5,Trading,Yes,53.0,41.0,44.0,61.0,69.0
F,17.0,70.0,45.0,59.0,57.0,50.0,67.0,46.0,60.0,55.0,53.0,Very Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Artisan,Yes,54.0,46.0,48.0,58.0,70.0
F,16.0,41.0,37.0,50.0,52.0,58.0,51.0,45.0,55.0,55.0,50.0,Excellent,Mother and Father,More Than 20000,High School,No,3.5-4,Civil Servant,Yes,55.0,45.0,38.0,52.0,68.0
F,17.0,69.0,38.0,46.0,54.0,50.0,50.0,48.0,48.0,50.0,50.0,Good,Mother and Father,10000-20000,Masters,Yes,3-3.5,Civil Servant,Yes,53.0,46.0,47.0,55.0,68.0
F,19.0,68.0,43.0,52.0,51.0,50.0,64.0,41.0,57.0,52.0,56.0,Excellent,Father Only,5000-10000,High School,Yes,3.5-4,Civil Servant,Yes,50.0,46.0,47.0,50.0,69.0
M,17.0,61.0,44.0,52.0,55.0,47.0,64.0,42.0,49.0,54.0,40.0,Good,Mother and Father,Less Than 5000,Degree,Yes,3-3.5,Artisan,Yes,55.0,40.0,47.0,60.0,75.0
M,18.0,62.0,50.0,64.0,53.0,59.0,40.0,53.0,37.0,55.0,57.0,Good,Mother and Father,Less Than 5000,No Education,Yes,2-2.5,Civil Servant,Yes,56.0,53.0,44.0,65.0,69.0
F,17.0,63.0,32.0,50.0,58.0,43.0,60.0,41.0,72.0,64.0,51.0,Satisfactory,Mother and Father,More Than 20000,Masters,Yes,3-3.5,Civil Servant,No,52.0,47.0,48.0,54.0,61.0
F,17.0,48.0,45.0,60.0,53.0,50.0,61.0,47.0,55.0,46.0,50.0,Good,Mother and Father,Less Than 5000,No Education,No,2-2.5,Trading,No,60.0,53.0,42.0,60.0,51.0
M,18.0,61.0,42.0,42.0,39.0,50.0,61.0,38.0,45.0,51.0,50.0,Good,Mother and Father,More Than 20000,Masters,Yes,3-3.5,Civil Servant,No,48.0,46.0,48.0,58.0,65.0
M,18.0,64.0,34.0,40.0,32.0,47.0,49.0,42.0,39.0,47.0,44.0,Good,I Live Alone,More Than 20000,Masters,No,3-3.5,Civil Servant,No,55.0,60.0,44.0,40.0,43.0
F,17.0,51.0,53.0,53.0,61.0,39.0,67.0,50.0,62.0,61.0,50.0,Satisfactory,Mother and Father,Less Than 5000,Degree,Yes,2.5-3,Artisan,Yes,53.0,51.0,46.0,33.0,64.0
M,17.0,62.0,43.0,50.0,43.0,52.0,67.0,46.0,59.0,44.0,52.0,Good,Mother Only,Less Than 5000,High School,No,3-3.5,Civil Servant,No,55.0,41.0,37.0,53.0,54.0
F,17.0,61.0,52.0,50.0,53.0,50.0,63.0,40.0,67.0,64.0,57.0,Good,Mother and Father,5000-10000,High School,Yes,3.5-4,Military,Yes,67.0,46.0,45.0,51.0,66.0
F,15.0,49.0,48.0,53.0,52.0,59.0,68.0,48.0,68.0,51.0,70.0,Very Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,46.0,42.0,46.0,61.0,41.0
M,16.0,32.0,48.0,55.0,44.0,53.0,62.0,40.0,48.0,54.0,72.0,Excellent,Mother and Father,5000-10000,Degree,No,3-3.5,Civil Servant,Yes,38.0,53.0,36.0,42.0,46.0
M,16.0,46.0,47.0,60.0,44.0,67.0,60.0,42.0,55.0,53.0,73.0,Good,Father Only,More Than 20000,Masters,No,3.5-4,Civil Servant,Yes,51.0,40.0,44.0,61.0,54.0
M,16.0,51.0,47.0,60.0,53.0,48.0,61.0,39.0,48.0,51.0,57.0,Satisfactory,Mother and Father,5000-10000,No Education,No,3-3.5,Military,Yes,48.0,46.0,45.0,57.0,45.0
F,16.0,48.0,53.0,57.0,53.0,54.0,63.0,50.0,54.0,62.0,78.0,Good,Mother and Father,More Than 20000,PhD,No,3-3.5,Artisan,No,58.0,54.0,54.0,68.0,61.0
M,16.0,50.0,47.0,56.0,51.0,51.0,56.0,44.0,60.0,56.0,62.0,Very Good,Mother and Father,Less Than 5000,Degree,Yes,3.5-4,Artisan,Yes,58.0,50.0,46.0,62.0,38.0
F,16.0,45.0,52.0,51.0,53.0,58.0,56.0,50.0,52.0,55.0,68.0,Good,Mother Only,10000-20000,Degree,Yes,2.5-3,Artisan,Yes,58.0,42.0,50.0,60.0,38.0
F,16.0,33.0,51.0,61.0,21.0,53.0,74.0,55.0,59.0,55.0,79.0,Good,Mother and Father,Less Than 5000,Diploma,No,3-3.5,Civil Servant,Yes,53.0,47.0,46.0,65.0,63.0
F,16.0,43.0,38.0,62.0,53.0,54.0,72.0,58.0,58.0,54.0,71.0,Very Good,Mother Only,5000-10000,Degree,Yes,3-3.5,Trading,Yes,40.0,38.0,65.0,55.0,45.0
M,16.0,47.0,54.0,60.0,55.0,54.0,51.0,35.0,59.0,52.0,66.0,Good,Mother and Father,Less Than 5000,Masters,No,3-3.5,Artisan,Yes,45.0,55.0,62.0,65.0,60.0
M,16.0,54.0,52.0,57.0,50.0,68.0,57.0,41.0,57.0,56.0,66.0,Good,Mother and Father,10000-20000,Diploma,Yes,3-3.5,Civil Servant,Yes,55.0,56.0,60.0,48.0,60.0
M,16.0,55.0,56.0,61.0,63.0,67.0,79.0,51.0,56.0,55.0,70.0,Very Good,Mother and Father,Less Than 5000,High School,Yes,3-3.5,Civil Servant,Yes,58.0,60.0,67.0,70.0,66.0
F,16.0,45.0,44.0,56.0,50.0,55.0,57.0,43.0,60.0,52.0,65.0,Good,Mother and Father,10000-20000,Masters,Yes,3-3.5,Artisan,Yes,40.0,45.0,60.0,45.0,50.0
M,16.0,64.0,45.0,58.0,53.0,58.0,56.0,45.0,56.0,56.0,70.0,Good,Mother and Father,10000-20000,Masters,No,3-3.5,Civil Servant,Yes,60.0,55.0,65.0,60.0,58.0
F,16.0,53.0,50.0,55.0,57.0,60.0,55.0,55.0,61.0,62.0,67.0,Good,Mother and Father,5000-10000,Degree,Yes,2.5-3,Military,Yes,50.0,45.0,55.0,60.0,60.0
M,16.0,43.0,41.0,59.0,50.0,49.0,49.0,44.0,52.0,53.0,60.0,Good,I Live Alone,Less Than 5000,High School,Yes,3-3.5,Trading,Yes,53.0,51.0,50.0,59.0,64.0
M,16.0,50.0,42.0,56.0,47.0,52.0,56.0,46.0,61.0,51.0,64.0,Very Good,Mother and Father,Less Than 5000,Masters,Yes,3-3.5,Artisan,Yes,48.0,54.0,48.0,58.0,36.0
M,16.0,58.0,49.0,35.0,57.0,52.0,63.0,46.0,58.0,57.0,76.0,Very Good,Father Only,Less Than 5000,High SchoolDropout,No,2-2.5,Trading,No,47.0,53.0,58.0,61.0,65.0
M,16.0,56.0,48.0,63.0,68.0,73.0,69.0,44.0,58.0,55.0,64.0,Good,Mother Only,10000-20000,High School,No,2.5-3,Civil Servant,Yes,55.0,60.0,47.0,63.0,47.0
M,17.0,53.0,53.0,61.0,64.0,62.0,52.0,45.0,50.0,55.0,59.0,Very Good,Mother and Father,More Than 20000,Degree,Yes,2.5-3,Civil Servant,Yes,50.0,54.0,65.0,60.0,65.0
F,17.0,87.0,64.0,69.0,81.0,89.0,94.0,69.0,72.0,79.0,88.0,Good,Mother Only,5000-10000,Masters,Yes,2.5-3,Trading,No,80.0,60.0,65.0,60.0,75.0
F,17.0,60.0,44.0,54.0,54.0,58.0,53.0,48.0,50.0,48.0,58.0,Good,Mother and Father,More Than 20000,Masters,No,3-3.5,Trading,Yes,52.0,48.0,43.0,55.0,53.0
M,17.0,46.0,48.0,51.0,46.0,58.0,56.0,38.0,50.0,55.0,52.0,Excellent,Mother and Father,Less Than 5000,High SchoolDropout,Yes,3-3.5,Military,Yes,52.0,50.0,44.0,60.0,79.0
F,17.0,56.0,45.0,52.0,64.0,76.0,77.0,59.0,53.0,50.0,57.0,Very Good,I Live Alone,Less Than 5000,No Education,No,2.5-3,Trading,Yes,55.0,72.0,62.0,68.0,59.0
F,17.0,55.0,54.0,52.0,57.0,63.0,59.0,55.0,56.0,50.0,52.0,Very Good,Mother and Father,Less Than 5000,Degree,No,3-3.5,Trading,Yes,55.0,60.0,60.0,63.0,81.0
M,17.0,46.0,36.0,51.0,40.0,52.0,47.0,31.0,50.0,45.0,41.0,Good,Mother and Father,More Than 20000,Masters,Yes,2.5-3,Artisan,Yes,48.0,49.0,44.0,47.0,70.0
F,17.0,50.0,44.0,50.0,52.0,56.0,54.0,37.0,50.0,53.0,55.0,Excellent,Mother and Father,Less Than 5000,Degree,Yes,3-3.5,Civil Servant,Yes,41.0,39.0,43.0,56.0,55.0
M,17.0,53.0,39.0,50.0,59.0,57.0,57.0,47.0,50.0,53.0,49.0,Good,Other Relatives,Less Than 5000,Degree,No,2.5-3,Civil Servant,Yes,53.0,45.0,46.0,57.0,68.0
F,17.0,49.0,42.0,45.0,61.0,61.0,59.0,43.0,57.0,54.0,52.0,Good,Mother and Father,5000-10000,High School,Yes,3.5-4,Civil Servant,Yes,50.0,53.0,50.0,56.0,58.0
F,21.0,48.0,47.0,51.0,62.0,56.0,60.0,64.0,50.0,44.0,54.0,Good,I Live Alone,Less Than 5000,High SchoolDropout,No,3.5-4,Artisan,Yes,50.0,54.0,40.0,55.0,68.0
F,17.0,50.0,43.0,51.0,57.0,62.0,55.0,44.0,52.0,59.0,46.0,Good,Mother and Father,10000-20000,Masters,Yes,3-3.5,Artisan,Yes,44.0,54.0,43.0,51.0,46.0
F,17.0,53.0,38.0,47.0,42.0,58.0,61.0,40.0,50.0,52.0,43.0,Excellent,Mother Only,Less Than 5000,No Education,No,3-3.5,Civil Servant,Yes,50.0,50.0,45.0,56.0,71.0
F,17.0,61.0,43.0,33.0,53.0,45.0,60.0,36.0,50.0,39.0,41.0,Good,Mother and Father,5000-10000,No Education,Yes,3-3.5,Civil Servant,Yes,52.0,44.0,36.0,51.0,72.0
F,17.0,50.0,50.0,50.0,59.0,62.0,56.0,52.0,59.0,58.0,53.0,Very Good,Mother Only,5000-10000,No Education,Yes,2.5-3,Civil Servant,Yes,53.0,64.0,46.0,62.0,79.0
F,17.0,59.0,38.0,36.0,66.0,42.0,50.0,31.0,50.0,54.0,37.0,Very Good,Mother and Father,More Than 20000,Degree,Yes,3-3.5,Civil Servant,Yes,50.0,45.0,39.0,31.0,75.0
F,17.0,45.0,52.0,52.0,52.0,61.0,65.0,53.0,50.0,53.0,52.0,Good,Mother and Father,Less Than 5000,Masters,Yes,3.5-4,Civil Servant,Yes,50.0,52.0,44.0,63.0,72.0
M,17.0,41.0,52.0,44.0,68.0,42.0,37.0,38.0,33.0,51.0,38.0,Good,Siblings,10000-20000,Masters,Yes,2.5-3,Civil Servant,Yes,44.0,50.0,56.0,51.0,43.0
M,17.0,55.0,52.0,55.0,66.0,60.0,64.0,40.0,50.0,54.0,54.0,Good,Mother Only,Less Than 5000,Degree,No,3-3.5,Trading,Yes,53.0,55.0,52.0,59.0,65.0
F,17.0,65.0,51.0,59.0,68.0,74.0,65.0,52.0,55.0,59.0,46.0,Good,Mother and Father,Less Than 5000,High School,Yes,2.5-3,Civil Servant,Yes,59.0,70.0,51.0,57.0,51.0
F,16.0,50.0,47.0,50.0,51.0,59.0,50.0,46.0,53.0,51.0,51.0,Excellent,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,51.0,52.0,43.0,54.0,74.0
F,16.0,44.0,48.0,50.0,25.0,43.0,47.0,36.0,51.0,45.0,37.0,Excellent,Mother Only,5000-10000,Masters,Yes,2.5-3,Artisan,Yes,42.0,52.0,43.0,52.0,51.0
F,16.0,50.0,46.0,44.0,41.0,56.0,52.0,41.0,54.0,52.0,50.0,Good,Mother and Father,More Than 20000,Masters,Yes,3-3.5,Civil Servant,Yes,51.0,56.0,37.0,65.0,75.0
F,16.0,59.0,59.0,44.0,58.0,46.0,59.0,39.0,54.0,48.0,56.0,Very Good,Mother and Father,Less Than 5000,Degree,Yes,3.5-4,Civil Servant,Yes,50.0,46.0,43.0,56.0,48.0
F,16.0,59.0,59.0,39.0,29.0,47.0,59.0,45.0,43.0,54.0,49.0,Very Good,Father Only,More Than 20000,No Education,Yes,3-3.5,Civil Servant,Yes,40.0,53.0,35.0,64.0,48.0
F,16.0,54.0,59.0,49.0,48.0,45.0,55.0,49.0,59.0,53.0,44.0,Excellent,Mother Only,Less Than 5000,Masters,Yes,2.5-3,Trading,Yes,38.0,52.0,40.0,68.0,56.0
